Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;OMAN;OM;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;OMAN;OM;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;POLAND;PL;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;POLAND;PL;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;POLAND;PL;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;SERBIA;RS;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;SWEDEN;SE;Stream;;2  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;UNITED STATES;US;Stream;;39  ;$0,07
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;UNITED STATES;US;Stream;;12  ;$0,02
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;UNITED STATES;US;Stream;;5  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;UNITED STATES;US;Stream;;5  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube Red;BELGIUM;BE;Stream;Stream - Audio-Visual - Partner-provided;1  ;$0,01
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;2  ;$0,02
R.W.W.;Shut Yer Mouth;Track;3760231765037;BEHC61800023;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
R.W.W.;Every Once In A While;Track;3760231765037;BEHC61800013;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
R.W.W.;J’Attendrai;Track;3760231765037;BEHC61800019;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;2  ;$0,02
R.W.W.;J’Attendrai;Track;3760231765037;BEHC61800019;digital-BADLP001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;BRAZIL;BR;Stream;Stream;1  ;$0,01
R.W.W.;Eye Of The Storm;Track;3760231765037;BEHC61800017;digital-BADLP001;Apple Music;BRAZIL;BR;Stream;Stream;1  ;$0,01
R.W.W.;Never Get To Say Yer Sorry;Track;3760231765037;BEHC61800021;digital-BADLP001;Apple Music;BRAZIL;BR;Stream;Stream;1  ;$0,01
R.W.W.;I Know A Girl;Track;3760231765037;BEHC61800018;digital-BADLP001;Apple Music;BRAZIL;BR;Stream;Stream;1  ;$0,01
R.W.W.;Every Once In A While;Track;3760231765037;BEHC61800013;digital-BADLP001;Apple Music;BRAZIL;BR;Stream;Stream;1  ;$0,01
